sailboat_id,latitude,longitude,compass_heading,tilt
Sailboat-1,41.769754,-71.380441,275.4,3.94
Sailboat-2,41.766820,-71.380130,180.5,1.21
Sailboat-3,41.780827,-71.379502,32.0,-0.11
Sailboat-4,41.782909,-71.397021,125.5,1.97
Sailboat-5,41.782760,-71.387984,346.0,-4.90
Sailboat-1,41.769716,-71.380418,273.8,3.70
Sailboat-2,41.766799,-71.380175,182.4,0.93
Sailboat-3,41.780864,-71.379459,33.4,-0.21
Sailboat-4,41.782936,-71.397000,126.3,1.58
Sailboat-5,41.782730,-71.387937,344.4,-4.81
Sailboat-1,41.769721,-71.380457,275.5,3.50
Sailboat-2,41.766804,-71.380210,183.3,0.45
Sailboat-3,41.780840,-71.379474,34.2,-0.24
Sailboat-4,41.782970,-71.397008,124.7,1.77
Sailboat-5,41.782710,-71.387899,343.8,-4.78
Sailboat-1,41.769724,-71.380440,274.8,3.72
Sailboat-2,41.766822,-71.380183,185.1,0.25
Sailboat-3,41.780828,-71.379444,35.1,0.14
Sailboat-4,41.783011,-71.397045,126.1,1.83
Sailboat-5,41.782701,-71.387925,342.8,-4.22
Sailboat-1,41.769757,-71.380437,275.0,3.64
Sailboat-2,41.766845,-71.380135,183.2,-0.12
Sailboat-3,41.780831,-71.379454,36.0,0.56
Sailboat-4,41.782963,-71.396999,126.9,1.39
Sailboat-5,41.782729,-71.387931,342.4,-4.29
Sailboat-1,41.769722,-71.380479,275.4,3.06
Sailboat-2,41.766829,-71.380098,183.7,-0.02
Sailboat-3,41.780815,-71.379445,37.7,0.64
Sailboat-4,41.782946,-71.396952,126.3,1.65
Sailboat-5,41.782710,-71.387974,343.0,-3.61
Sailboat-1,41.769747,-71.380508,273.7,2.68
Sailboat-2,41.766820,-71.380060,185.3,-0.10
Sailboat-3,41.780837,-71.379473,38.6,0.19
Sailboat-4,41.782912,-71.396951,124.5,1.79
Sailboat-5,41.782668,-71.387929,342.0,-2.98
Sailboat-1,41.769771,-71.380466,274.8,2.78
Sailboat-2,41.766806,-71.380084,183.5,0.00
Sailboat-3,41.780806,-71.379495,39.6,0.35
Sailboat-4,41.782940,-71.396915,122.5,1.74
Sailboat-5,41.782675,-71.387921,342.2,-2.64
Sailboat-1,41.769812,-71.380485,276.2,2.56
Sailboat-2,41.766802,-71.380087,182.0,-0.01
Sailboat-3,41.780756,-71.379483,38.3,0.76
Sailboat-4,41.782904,-71.396921,121.5,1.32
Sailboat-5,41.782718,-71.387897,341.2,-2.72
Sailboat-1,41.769771,-71.380500,274.4,2.59
Sailboat-2,41.766822,-71.380038,181.8,-0.37
Sailboat-3,41.780713,-71.379470,36.5,0.76
Sailboat-4,41.782937,-71.396907,120.5,1.10
Sailboat-5,41.782758,-71.387942,339.2,-2.84
Sailboat-1,41.769800,-71.380483,273.9,2.00
Sailboat-2,41.766804,-71.380063,183.3,-0.78
Sailboat-3,41.780741,-71.379428,35.1,0.75
Sailboat-4,41.782982,-71.396933,119.8,0.88
Sailboat-5,41.782754,-71.387930,339.9,-2.35
Sailboat-1,41.769845,-71.380454,272.5,2.17
Sailboat-2,41.766821,-71.380055,182.2,-0.91
Sailboat-3,41.780786,-71.379417,35.4,0.50
Sailboat-4,41.782939,-71.396889,121.0,0.60
Sailboat-5,41.782754,-71.387894,338.3,-2.65
Sailboat-1,41.769826,-71.380502,271.0,2.27
Sailboat-2,41.766775,-71.380063,182.0,-1.03
Sailboat-3,41.780811,-71.379394,33.6,0.14
Sailboat-4,41.782903,-71.396865,121.2,0.43
Sailboat-5,41.782727,-71.387918,338.7,-2.53
Sailboat-1,41.769861,-71.380496,272.8,1.81
Sailboat-2,41.766770,-71.380069,180.3,-1.36
Sailboat-3,41.780783,-71.379367,31.7,0.16
Sailboat-4,41.782858,-71.396859,120.2,0.61
Sailboat-5,41.782684,-71.387962,337.4,-2.19
Sailboat-1,41.769896,-71.380492,273.8,2.17
Sailboat-2,41.766781,-71.380040,179.7,-1.16
Sailboat-3,41.780786,-71.379391,32.7,-0.30
Sailboat-4,41.782900,-71.396834,121.1,0.25
Sailboat-5,41.782635,-71.388004,338.2,-1.88
Sailboat-1,41.769917,-71.380495,275.0,1.82
Sailboat-2,41.766735,-71.380023,181.5,-0.85
Sailboat-3,41.780817,-71.379361,34.0,-0.23
Sailboat-4,41.782914,-71.396797,121.3,0.22
Sailboat-5,41.782677,-71.388041,337.0,-2.17
Sailboat-1,41.769899,-71.380493,273.8,1.36
Sailboat-2,41.766712,-71.380035,183.1,-0.40
Sailboat-3,41.780819,-71.379401,32.4,-0.06
Sailboat-4,41.782961,-71.396815,120.3,-0.02
Sailboat-5,41.782723,-71.388023,336.0,-2.37
Sailboat-1,41.769946,-71.380467,272.2,1.37
Sailboat-2,41.766723,-71.380058,182.4,-0.74
Sailboat-3,41.780840,-71.379374,30.7,-0.20
Sailboat-4,41.782917,-71.396783,120.9,0.24
Sailboat-5,41.782682,-71.388009,337.6,-2.06
Sailboat-1,41.769950,-71.380463,273.9,0.90
Sailboat-2,41.766755,-71.380092,182.4,-0.87
Sailboat-3,41.780847,-71.379400,30.1,-0.38
Sailboat-4,41.782939,-71.396779,120.7,0.03
Sailboat-5,41.782646,-71.388045,335.8,-1.57
Sailboat-1,41.769920,-71.380416,275.8,0.54
Sailboat-2,41.766769,-71.380129,180.9,-0.54
Sailboat-3,41.780816,-71.379355,30.2,-0.74
Sailboat-4,41.782957,-71.396819,120.9,0.38
Sailboat-5,41.782688,-71.388064,336.3,-1.24
Sailboat-1,41.769957,-71.380414,276.9,0.44
Sailboat-2,41.766807,-71.380114,181.5,-0.68
Sailboat-3,41.780861,-71.379370,31.8,-0.47
Sailboat-4,41.782969,-71.396780,120.1,0.46
Sailboat-5,41.782724,-71.388087,335.0,-0.81
Sailboat-1,41.769983,-71.380392,275.6,0.46
Sailboat-2,41.766773,-71.380153,182.2,-0.80
Sailboat-3,41.780831,-71.379353,32.6,-0.07
Sailboat-4,41.782981,-71.396798,120.3,0.69
Sailboat-5,41.782720,-71.388129,333.5,-0.94
Sailboat-1,41.770020,-71.380394,275.9,0.65
Sailboat-2,41.766724,-71.380192,182.5,-0.64
Sailboat-3,41.780801,-71.379402,34.0,0.40
Sailboat-4,41.782998,-71.396798,118.7,0.75
Sailboat-5,41.782680,-71.388125,333.4,-1.02
Sailboat-1,41.770037,-71.380384,276.7,0.31
Sailboat-2,41.766737,-71.380154,183.6,-0.36
Sailboat-3,41.780770,-71.379357,33.1,0.50
Sailboat-4,41.782960,-71.396804,117.3,0.35
Sailboat-5,41.782667,-71.388101,335.1,-1.00
Sailboat-1,41.769997,-71.380433,274.7,0.29
Sailboat-2,41.766764,-71.380106,184.6,-0.75
Sailboat-3,41.780750,-71.379403,34.5,0.19
Sailboat-4,41.782910,-71.396811,117.2,0.64
Sailboat-5,41.782672,-71.388120,335.6,-0.96
Sailboat-1,41.769992,-71.380406,275.2,0.40
Sailboat-2,41.766716,-71.380083,185.6,-0.35
Sailboat-3,41.780741,-71.379451,32.6,0.29
Sailboat-4,41.782921,-71.396789,119.1,1.06
Sailboat-5,41.782633,-71.388093,335.6,-0.65
Sailboat-1,41.770016,-71.380436,273.7,0.11
Sailboat-2,41.766696,-71.380061,183.9,-0.65
Sailboat-3,41.780752,-71.379486,32.3,0.20
Sailboat-4,41.782891,-71.396809,119.7,0.67
Sailboat-5,41.782627,-71.388055,336.1,-0.64
Sailboat-1,41.769991,-71.380421,272.8,0.15
Sailboat-2,41.766662,-71.380031,183.5,-0.48
Sailboat-3,41.780735,-71.379517,33.2,0.27
Sailboat-4,41.782910,-71.396797,119.4,0.21
Sailboat-5,41.782667,-71.388054,335.7,-0.97
Sailboat-1,41.769974,-71.380429,273.5,-0.03
Sailboat-2,41.766665,-71.380009,182.6,-0.85
Sailboat-3,41.780734,-71.379554,31.8,0.56
Sailboat-4,41.782940,-71.396794,118.6,-0.03
Sailboat-5,41.782621,-71.388018,333.7,-1.14
