index,timestamp,sailboat_id,latitude,longitude,compass_heading,tilt,rssi
1,2025-08-04T18:44:44.253503,Sailboat-1,41.776765,-71.385547,142.2,-0.32,-49
2,2025-08-04T18:44:44.253503,Sailboat-2,41.767866,-71.379668,351.5,2.09,-64
3,2025-08-04T18:44:44.253503,Sailboat-3,41.776548,-71.385836,304.2,4.66,-71
4,2025-08-04T18:44:44.253503,Sailboat-4,41.780896,-71.393065,92.4,3.24,-49
5,2025-08-04T18:44:44.253503,Sailboat-5,41.767526,-71.396084,280.2,-3.79,-85
6,2025-08-04T18:44:46.254073,Sailboat-1,41.776799,-71.385591,141.2,0.01,-49
7,2025-08-04T18:44:46.254073,Sailboat-2,41.767905,-71.379659,351.6,1.73,-67
8,2025-08-04T18:44:46.254073,Sailboat-3,41.776567,-71.385807,303.6,4.49,-70
9,2025-08-04T18:44:46.254073,Sailboat-4,41.780847,-71.393082,90.8,3.28,-50
10,2025-08-04T18:44:46.254073,Sailboat-5,41.767554,-71.396091,278.5,-3.47,-82
11,2025-08-04T18:44:48.254980,Sailboat-1,41.776782,-71.385561,139.8,0.08,-49
12,2025-08-04T18:44:48.254980,Sailboat-2,41.767946,-71.379629,351.8,1.35,-64
13,2025-08-04T18:44:48.254980,Sailboat-3,41.776531,-71.385773,305.1,4.29,-71
14,2025-08-04T18:44:48.254980,Sailboat-4,41.780853,-71.393114,91.8,2.91,-50
15,2025-08-04T18:44:48.254980,Sailboat-5,41.767594,-71.396076,276.8,-3.12,-82
16,2025-08-04T18:44:50.256043,Sailboat-1,41.776740,-71.385534,141.0,0.14,-48
17,2025-08-04T18:44:50.256043,Sailboat-2,41.767969,-71.379653,352.9,1.68,-63
18,2025-08-04T18:44:50.256043,Sailboat-3,41.776519,-71.385744,305.4,3.67,-69
19,2025-08-04T18:44:50.256043,Sailboat-4,41.780825,-71.393130,90.9,3.15,-52
20,2025-08-04T18:44:50.256043,Sailboat-5,41.767631,-71.396060,275.6,-2.61,-83
21,2025-08-04T18:44:52.256890,Sailboat-1,41.776785,-71.385497,140.8,-0.07,-48
22,2025-08-04T18:44:52.256890,Sailboat-2,41.767935,-71.379693,352.1,1.90,-62
23,2025-08-04T18:44:52.256890,Sailboat-3,41.776479,-71.385767,303.7,3.90,-71
24,2025-08-04T18:44:52.256890,Sailboat-4,41.780811,-71.393161,90.7,3.44,-54
25,2025-08-04T18:44:52.256890,Sailboat-5,41.767647,-71.396025,275.1,-2.45,-84
26,2025-08-04T18:44:54.257271,Sailboat-1,41.776826,-71.385470,142.3,0.13,-49
27,2025-08-04T18:44:54.257271,Sailboat-2,41.767965,-71.379661,352.9,2.13,-62
28,2025-08-04T18:44:54.257271,Sailboat-3,41.776504,-71.385786,304.2,4.10,-69
29,2025-08-04T18:44:54.257271,Sailboat-4,41.780791,-71.393146,90.4,3.36,-54
30,2025-08-04T18:44:54.257271,Sailboat-5,41.767605,-71.396056,274.8,-2.22,-85
31,2025-08-04T18:44:56.258219,Sailboat-1,41.776793,-71.385442,144.3,-0.18,-49
32,2025-08-04T18:44:56.258219,Sailboat-2,41.767947,-71.379646,353.8,1.71,-65
33,2025-08-04T18:44:56.258219,Sailboat-3,41.776470,-71.385819,304.0,3.97,-69
34,2025-08-04T18:44:56.258219,Sailboat-4,41.780755,-71.393102,89.0,3.00,-53
35,2025-08-04T18:44:56.258219,Sailboat-5,41.767566,-71.396010,273.7,-1.76,-86
36,2025-08-04T18:44:58.259225,Sailboat-1,41.776802,-71.385407,143.7,-0.23,-47
37,2025-08-04T18:44:58.259225,Sailboat-2,41.767978,-71.379600,355.1,1.32,-68
38,2025-08-04T18:44:58.259225,Sailboat-3,41.776460,-71.385840,302.0,3.48,-68
39,2025-08-04T18:44:58.259225,Sailboat-4,41.780734,-71.393119,88.5,3.22,-54
40,2025-08-04T18:44:58.259225,Sailboat-5,41.767599,-71.396032,273.0,-1.29,-88
