sailboat_id,latitude,longitude,compass_heading,tilt
Sailboat-1,41.782995,-71.392992,172.4,-1.63
Sailboat-2,41.778623,-71.379243,49.5,1.73
Sailboat-3,41.779653,-71.386614,272.7,1.87
Sailboat-4,41.773619,-71.387916,6.8,-0.52
Sailboat-5,41.781199,-71.391475,163.3,-3.32
Sailboat-1,41.782993,-71.393011,174.0,-2.01
Sailboat-2,41.778651,-71.379211,51.4,1.72
Sailboat-3,41.779619,-71.386594,271.2,1.72
Sailboat-4,41.773630,-71.387923,5.4,-0.47
Sailboat-5,41.781205,-71.391500,163.3,-3.07
Sailboat-1,41.783011,-71.392997,175.8,-2.35
Sailboat-2,41.778644,-71.379174,52.0,1.35
Sailboat-3,41.779667,-71.386609,270.4,1.96
Sailboat-4,41.773625,-71.387921,7.0,-0.29
Sailboat-5,41.781218,-71.391499,164.8,-3.31
Sailboat-1,41.783012,-71.392991,177.5,-2.54
Sailboat-2,41.778647,-71.379183,52.4,1.10
Sailboat-3,41.779694,-71.386637,272.0,1.43
Sailboat-4,41.773612,-71.387924,6.4,-0.11
Sailboat-5,41.781191,-71.391473,163.8,-3.48
Sailboat-1,41.783054,-71.393017,179.2,-2.16
Sailboat-2,41.778681,-71.379188,51.1,1.24
Sailboat-3,41.779711,-71.386682,273.4,1.03
Sailboat-4,41.773660,-71.387949,7.2,0.32
Sailboat-5,41.781211,-71.391506,162.2,-3.12
Sailboat-1,41.783034,-71.393004,180.9,-1.67
Sailboat-2,41.778719,-71.379169,49.5,1.08
Sailboat-3,41.779700,-71.386655,273.3,0.73
Sailboat-4,41.773642,-71.387907,8.3,-0.15
Sailboat-5,41.781230,-71.391504,163.2,-2.64
Sailboat-1,41.783052,-71.393012,181.4,-1.77
Sailboat-2,41.778679,-71.379170,48.8,1.36
Sailboat-3,41.779665,-71.386692,272.6,0.64
Sailboat-4,41.773684,-71.387863,10.1,-0.37
Sailboat-5,41.781279,-71.391538,164.6,-2.38
Sailboat-1,41.783057,-71.392988,183.1,-1.94
Sailboat-2,41.778688,-71.379129,48.9,1.45
Sailboat-3,41.779629,-71.386708,272.4,0.41
Sailboat-4,41.773641,-71.387815,11.9,0.08
Sailboat-5,41.781285,-71.391488,163.5,-2.73
Sailboat-1,41.783106,-71.393029,184.8,-1.97
Sailboat-2,41.778713,-71.379085,48.0,0.96
Sailboat-3,41.779660,-71.386742,273.1,0.64
Sailboat-4,41.773595,-71.387781,13.7,-0.30
Sailboat-5,41.781296,-71.391450,162.3,-2.75
Sailboat-1,41.783088,-71.393050,185.0,-1.59
Sailboat-2,41.778755,-71.379052,46.2,0.45
Sailboat-3,41.779684,-71.386711,272.0,0.95
Sailboat-4,41.773560,-71.387772,14.8,-0.26
Sailboat-5,41.781295,-71.391481,164.1,-2.14
Sailboat-1,41.783069,-71.393019,186.9,-1.05
Sailboat-2,41.778770,-71.379059,47.5,0.74
Sailboat-3,41.779674,-71.386704,271.2,1.10
Sailboat-4,41.773579,-71.387799,14.9,0.10
Sailboat-5,41.781334,-71.391463,162.3,-1.69
Sailboat-1,41.783024,-71.393050,186.3,-1.31
Sailboat-2,41.778783,-71.379064,49.3,1.09
Sailboat-3,41.779698,-71.386680,272.0,1.37
Sailboat-4,41.773550,-71.387827,16.6,0.44
Sailboat-5,41.781334,-71.391490,161.2,-1.43
Sailboat-1,41.783032,-71.393038,187.2,-1.12
Sailboat-2,41.778783,-71.379108,48.9,1.19
Sailboat-3,41.779725,-71.386676,273.1,0.96
Sailboat-4,41.773541,-71.387778,15.7,0.21
Sailboat-5,41.781314,-71.391498,161.6,-1.37
Sailboat-1,41.783079,-71.393035,188.1,-1.01
Sailboat-2,41.778776,-71.379131,50.1,1.33
Sailboat-3,41.779709,-71.386668,274.0,0.63
Sailboat-4,41.773555,-71.387823,15.8,0.64
Sailboat-5,41.781277,-71.391464,160.9,-1.26
Sailboat-1,41.783031,-71.393011,187.3,-0.86
Sailboat-2,41.778764,-71.379132,48.4,0.81
Sailboat-3,41.779690,-71.386628,272.0,0.77
Sailboat-4,41.773519,-71.387824,17.2,0.52
Sailboat-5,41.781274,-71.391507,162.8,-0.83
Sailboat-1,41.783040,-71.392973,188.0,-1.02
Sailboat-2,41.778800,-71.379124,49.9,0.63
Sailboat-3,41.779690,-71.386617,272.3,0.43
Sailboat-4,41.773503,-71.387818,15.3,0.33
Sailboat-5,41.781322,-71.391484,164.4,-1.14
Sailboat-1,41.783074,-71.392996,187.1,-1.18
Sailboat-2,41.778798,-71.379143,48.2,1.02
Sailboat-3,41.779661,-71.386586,273.8,0.83
Sailboat-4,41.773535,-71.387768,14.1,0.57
Sailboat-5,41.781282,-71.391525,162.9,-0.94
Sailboat-1,41.783124,-71.392996,186.0,-1.28
Sailboat-2,41.778801,-71.379094,48.9,1.32
Sailboat-3,41.779704,-71.386627,275.4,0.94
Sailboat-4,41.773519,-71.387763,12.9,0.69
Sailboat-5,41.781316,-71.391559,160.9,-0.53
Sailboat-1,41.783154,-71.392949,186.5,-1.11
Sailboat-2,41.778786,-71.379139,49.6,1.04
Sailboat-3,41.779663,-71.386591,276.4,1.05
Sailboat-4,41.773489,-71.387782,14.0,0.98
Sailboat-5,41.781348,-71.391554,161.7,-0.72
Sailboat-1,41.783194,-71.392903,187.6,-1.51
Sailboat-2,41.778793,-71.379118,48.7,0.93
Sailboat-3,41.779687,-71.386586,275.8,1.12
Sailboat-4,41.773449,-71.387815,12.4,1.22
Sailboat-5,41.781320,-71.391585,162.6,-0.98
Sailboat-1,41.783238,-71.392876,188.8,-1.89
Sailboat-2,41.778798,-71.379080,47.1,0.56
Sailboat-3,41.779663,-71.386612,274.4,1.44
Sailboat-4,41.773402,-71.387826,11.1,1.49
Sailboat-5,41.781353,-71.391598,164.3,-0.80
Sailboat-1,41.783230,-71.392858,190.1,-2.26
Sailboat-2,41.778752,-71.379117,47.2,0.56
Sailboat-3,41.779697,-71.386570,273.5,1.15
Sailboat-4,41.773376,-71.387816,12.5,1.12
Sailboat-5,41.781311,-71.391601,164.1,-1.16
Sailboat-1,41.783273,-71.392834,191.1,-1.89
Sailboat-2,41.778756,-71.379152,46.2,0.25
Sailboat-3,41.779734,-71.386609,274.7,1.33
Sailboat-4,41.773339,-71.387815,14.3,1.52
Sailboat-5,41.781330,-71.391556,162.6,-0.73
Sailboat-1,41.783233,-71.392799,192.7,-1.68
Sailboat-2,41.778730,-71.379110,45.0,0.14
Sailboat-3,41.779745,-71.386632,275.7,1.31
Sailboat-4,41.773365,-71.387849,14.6,1.65
Sailboat-5,41.781376,-71.391598,164.1,-0.94
Sailboat-1,41.783213,-71.392777,191.0,-1.61
Sailboat-2,41.778683,-71.379123,43.8,0.00
